Feature,Importance
TotalSF,0.3627541903111673
OverallQual,0.351730276661163
TotalBathrooms,0.052662104720447904
OverallCond,0.016979734722867432
GarageCars,0.016304445728959203
YearRemodAdd,0.015064239797481444
LotArea,0.014307424703877763
GrLivArea,0.012713525799635432
HouseAge,0.011318891832992242
RemodAge,0.010764234280530133
CentralAir_Y,0.010670187423893022
HasFireplace,0.009319882780855597
GarageYrBlt,0.007435091110069214
YearBuilt,0.007224895707146238
GarageArea,0.006411391990997761
BsmtFinSF1,0.005907119740580966
1stFlrSF,0.005658075543883699
Fireplaces,0.005540882782138804
MSZoning_C (all),0.0046287267688747665
KitchenQual_TA,0.004227537066346201
BsmtQual_Ex,0.003957139915214942
MSZoning_RL,0.0038161785876281687
KitchenAbvGr,0.0033364893568539234
CentralAir_N,0.0030580932252843663
MSZoning_RM,0.002985144384253593
Neighborhood_Crawfor,0.00281913085526278
TotalPorchSF,0.0025082161861287007
BsmtUnfSF,0.00236618747156039
SaleCondition_Abnorml,0.0019984870564595967
GarageType_Attchd,0.0019412440091255547
KitchenQual_Ex,0.0016575597676582656
WoodDeckSF,0.0016158203167485987
GarageQual_TA,0.0016143945884603637
Functional_Typ,0.0014796393049097344
BsmtExposure_Gd,0.001361027303407133
BsmtFinType1_GLQ,0.0012429627229621214
SaleCondition_Family,0.001170909439817
2ndFlrSF,0.0010956350810690685
ScreenPorch,0.0010096714326384422
OpenPorchSF,0.001002570725933255
LotShape_Reg,0.0009925363530461071
TotalBsmtSF,0.0009722699315536568
MoSold,0.0008352349990517003
EnclosedPorch,0.0008286154418600785
LotFrontage,0.000798152312188073
GarageType_Detchd,0.0007881826464685334
Exterior1st_BrkComm,0.000770553227255188
Condition1_Artery,0.0007688582534073634
BsmtExposure_No,0.0007464313832934225
ExterQual_TA,0.0007383794095638174
Exterior1st_BrkFace,0.0006639737473090869
GarageAge,0.0006433857204576467
Neighborhood_NAmes,0.000610864058565807
PavedDrive_N,0.0004965801311545207
GarageFinish_Unf,0.00045874792855693416
FireplaceQu_Po,0.0004505764503380215
SaleType_New,0.0004441008042880961
Neighborhood_StoneBr,0.00044049764191684323
GarageType_CarPort,0.00043844191593267934
PoolArea,0.00042179042960314983
SaleCondition_Normal,0.00039342419512220476
Neighborhood_Edwards,0.0003644683942622244
BedroomAbvGr,0.00035717353026285426
LotConfig_CulDSac,0.0003489580555964634
YrSold,0.000318101344483138
MasVnrArea,0.00031346550447718173
Exterior1st_AsbShng,0.00031173300174461646
Alley_Pave,0.0002907963467773184
BsmtFinType1_ALQ,0.0002852846445574693
Exterior2nd_MetalSd,0.00026897758387590373
Neighborhood_BrkSide,0.0002677579576727075
HouseStyle_1Story,0.00024176866666268464
Neighborhood_IDOTRR,0.00023955888870106859
Neighborhood_ClearCr,0.00023928905508568951
BsmtExposure_Av,0.00023358488885650455
Condition1_RRAe,0.00022092585713640365
Functional_Maj2,0.00020200176403408802
BsmtCond_Fa,0.0001993851849686764
HeatingQC_Fa,0.00019543671168182304
RoofStyle_Flat,0.0001945494314784643
ExterQual_Gd,0.00019149129789449638
MSSubClass,0.00018742635829009565
GarageType_Basment,0.0001827264473210726
Neighborhood_NWAmes,0.0001806015320212291
HouseStyle_SLvl,0.00017657645639350828
HouseStyle_1.5Fin,0.00017575004189862204
LowQualFinSF,0.00017548138658540785
SaleCondition_Partial,0.00017206199643402965
Condition1_Norm,0.00017124444191959798
Condition1_PosA,0.0001622203708066507
ExterCond_Gd,0.00015733849441240455
MSZoning_FV,0.0001557462997715084
HasPool,0.0001425561221442598
LotConfig_FR2,0.00013979917275563252
LandContour_Lvl,0.00013817643378311734
TotRmsAbvGrd,0.00013786569781290648
